Institution,State,Tier,Mission,Mission MMJ,Size,Growth,Year,Property Plant Equip,Construction in Progress,K.Land,K.Buildings,K.Library,K.Other Prop Plant Equip,Plant and Equipment,Leasehold Improvements,Leased Plant Equip,Infrastructure,Other Property Plant and Equipment,Investment Property,Intang Assets,Other Non-Current Non-Financial Assets,Total Expenses,Total Benefits,Academic Benefits,Non Academic Benefits,Depreciation and Amortisation,Rep and Maint,Other Exp,Schol Grants Prizes,Non-Capitalised Equipment,"Advertising, Marketing and Promotional Expenses","Net Loss on Disposal of Property, Plant and Equipment",Other Expenditure,Equivalent FT Load,Equivalent FTL Course,Completion Count,Adjusted FT Load,SciVal All Pubs,Pubs herdc,Research Rev,RHD Completions,RTS Weighted Comp
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2008,850838,66368,185940,543151,0,55379,40348,2059,0,0,12972,0,21697,0,564888,326045,152638,173407,37250,20170,179493,33623,12356,9760,0,123754,28871,27583,9484,37067,1556,1624,63194792,248,647
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2009,865073,27778,220138,509281,0,107876,45073,48305,0,0,14498,0,29753,0,641474,369982,172583,197399,47498,25631,196977,41527,15763,10456,0,129231,30168,28784,9725,38509,1697,1709,80948621,231,582
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2010,839418,86769,214476,429316,0,108857,47681,46256,0,0,14920,0,36127,0,682379,407563,191655,215908,45605,24885,201979,46440,12506,9188,0,133845,31153,29595,9982,39577,1896,1756,67288976,277,800
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2011,926738,108304,229260,472241,0,116933,50737,43658,0,0,22538,0,34665,0,723163,433656,203615,230041,48172,22959,216419,52484,12631,9487,0,141817,31162,29505,9877,39382,2001,1908,75947527,294,753
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2012,1022926,235058,211587,454595,0,121686,61543,36978,0,0,23165,0,32847,0,770545,453786,216328,237458,47654,25448,240442,53461,14919,10395,0,161667,32536,30797,9983,40780,2296,1961,86071504,325,839
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2013,973192,37958,211437,593098,0,130699,70449,35383,0,0,24867,0,30674,0,833062,481914,229237,252677,54979,30713,262458,55282,19199,11640,361,175976,33546,31768,10545,42313,2574,2011,92574960,374,1001
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2014,1029125,93366,230545,537162,0,168052,98732,0,0,0,69320,0,28623,52728,873121,518595,250586,268009,57813,30820,260246,57646,14594,12587,246,175173,34723,32731,10698,43429,2838,1957,91474123,381,1052
Queensland University of Technology,QLD,2,ATN,ATN,Large,Slow,2015,1064826,101135,229573,568652,0,165466,95024,0,0,0,70442,0,25894,55856,922127,546546,265396,281150,67749,31875,271757,63367,18330,13584,0,176476,35665,33476,11232,44708,3045,0,101089634,424,1093
RMIT University,VIC,2,ATN,ATN,Large,Medium,2006,1030443,11460,251613,705229,18502,43639,38079,5560,0,0,0,0,0,0,502249,316316,193438,122878,25302,15578,143156,32651,5064,11364,0,94077,30248,29018,7762,36780,875,1205,27599036,253,688
RMIT University,VIC,2,ATN,ATN,Large,Medium,2007,1077502,28416,256664,715071,21681,55670,47420,8250,0,0,0,0,0,0,555574,355060,209988,145072,26544,16063,153736,28580,8047,8293,0,108816,31939,30738,8159,38897,1006,1213,26486513,261,680
RMIT University,VIC,2,ATN,ATN,Large,Medium,2008,1228628,84017,287440,759908,25330,71933,61827,10106,0,0,0,0,0,0,609876,388054,227230,160824,30957,20966,165261,27820,8572,9546,0,119323,34529,33364,11722,45086,1167,1272,28350890,267,681
RMIT University,VIC,2,ATN,ATN,Large,Medium,2009,1330063,106017,287440,834842,27602,74162,60361,12522,0,0,1279,0,0,0,649088,401537,232421,169116,37484,10523,192725,28165,10165,9251,0,145144,36374,35148,12850,47998,1247,1280,31562522,287,NA
RMIT University,VIC,2,ATN,ATN,Large,Medium,2010,1529682,116632,342090,938733,30753,101474,82013,18173,0,0,1288,0,0,0,705265,426750,242404,184346,45183,20876,205694,37705,10622,10443,0,146924,38906,37629,13534,51163,1406,1381,37773309,205,532
RMIT University,VIC,2,ATN,ATN,Large,Medium,2011,1657989,215184,378455,936471,30958,96921,81821,13398,0,0,1702,0,0,0,737907,449557,251965,197592,56803,14074,211237,32651,9088,11744,0,157754,40423,39118,14605,53723,1569,1395,49538785,231,611
RMIT University,VIC,2,ATN,ATN,Large,Medium,2012,1757790,33875,379261,1214276,31348,99030,88384,8838,0,0,1808,0,0,0,785472,483010,263441,219569,60060,11672,217648,37658,9351,12055,0,158584,41275,39924,15403,55327,1707,1460,49256687,233,654
RMIT University,VIC,2,ATN,ATN,Large,Medium,2013,1780696,66192,384279,1217281,30123,82821,73905,5879,0,0,3037,0,0,0,851228,489783,262974,226809,70570,15073,254364,52411,10371,12641,0,178941,44110,42617,18078,60695,1976,1572,52086036,299,860
RMIT University,VIC,2,ATN,ATN,Large,Medium,2014,2041257,115800,438885,1362630,36530,87412,71706,7029,0,0,8677,0,16319,0,892143,532434,282623,249811,58859,21051,276740,47200,9767,15467,0,204306,45432,43784,16528,60312,2359,1689,61845691,276,803
RMIT University,VIC,2,ATN,ATN,Large,Medium,2015,2209149,256143,438626,1353292,35696,125392,105811,10700,0,0,8881,0,25552,0,973371,576961,301402,275559,65507,23930,295427,60060,12151,14468,0,208748,45935,43980,16114,60094,2530,0,59357850,278,827
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2006,147969,551,11796,114166,1629,19827,6086,0,0,0,13741,0,0,0,113712,68173,33376,34797,6048,1416,37749,4064,1953,1871,0,29861,8923,8449,2753,11202,186,191,9562758,71,172
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2007,144505,533,11796,111185,1369,19622,6102,0,0,0,13520,0,0,0,123756,74207,36412,37795,5677,2013,41312,4261,2495,2075,0,32481,9045,8540,2546,11086,177,225,10195308,58,140
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2008,149159,7324,11783,108331,1176,20545,7277,0,0,0,13268,0,0,0,139934,83180,39684,43496,5676,2980,47647,4727,2942,3048,0,36930,9448,8912,2904,11816,217,278,9927956,55,126
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2009,173977,28846,12733,109359,1043,21996,8630,415,0,0,12951,0,0,0,160480,91043,44410,46633,6083,3963,58901,5038,6546,3262,0,44055,10204,9633,3234,12867,250,240,8280954,82,226
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2010,174677,4014,13022,128792,983,27866,13180,601,0,0,14085,0,239,0,168087,101880,50512,51368,7539,3207,55035,4344,2869,3017,0,44805,9984,9328,3516,12844,241,245,10440081,52,132
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2011,197122,22397,13722,130315,1097,29591,15280,345,0,13966,0,1258,353,0,184860,110012,55568,54444,8278,3477,53272,4147,3282,3366,0,42477,9587,8990,2827,11817,365,305,13362008,42,119
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2012,226472,48592,13722,131139,1122,31897,17279,158,0,14460,0,1000,1539,0,190180,120702,60976,59726,8655,2931,56774,4679,3788,3305,0,45002,9603,8861,3232,12093,475,377,13054042,45,113
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2013,230057,13967,13716,164437,117,37820,23433,34,0,14353,0,825,467,0,198329,126862,63592,63270,10276,2550,55837,5237,3153,3305,829,43313,9047,8271,2884,11155,491,403,13501350,58,151
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2014,238045,24217,12224,157836,117,43651,26144,41,0,17466,0,0,323,0,197776,122043,61142,60901,10842,2544,58968,5571,3036,3239,869,46253,9168,8367,2592,10959,573,380,12006209,33,88
Southern Cross University,NSW,3,RUN,RUN,Small,Slow,2015,245457,5378,12224,175097,117,52641,32841,39,0,19761,0,0,187,1116,202895,121615,60981,60634,11709,3117,63981,5284,2088,3674,49,52886,9180,8433,2524,10957,485,0,11507972,59,142
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2006,326431,12593,81518,185404,13282,33634,23029,4978,4823,0,804,0,32,0,292302,176053,103031,73022,13726,10569,91517,9111,6146,2813,0,73447,11763,11230,3500,14730,557,490,13949215,95,350
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2007,348441,15838,98641,188054,13768,32140,23096,4703,3530,0,811,0,0,0,315160,192900,117221,75679,18969,13418,88884,11407,6908,2897,0,67672,12985,12402,3535,15937,614,508,14328036,73,256
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2008,362457,27211,99125,190179,13929,32013,24537,4428,2237,0,811,0,0,0,352569,203803,126117,77686,21489,11901,97791,14102,8775,3976,0,70938,14105,13444,3675,17119,663,653,14977920,97,348
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2009,426593,47264,133547,205779,13329,26674,18240,6563,944,0,927,0,0,0,383065,230157,136211,93946,24765,14191,108923,17501,5312,4797,0,81313,16305,15592,4481,20073,750,630,15026677,86,303
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2010,506881,120307,135931,210147,13497,26999,19317,6748,7,0,927,0,0,0,393933,238868,143100,95768,23729,10403,120651,20678,15977,10987,0,73009,17049,16282,5035,21317,866,811,21014675,89,317
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2011,445210,20584,137783,234496,12590,39757,31722,7108,0,0,927,0,0,0,431621,264056,155866,108190,21455,13109,130428,26126,14558,13345,0,76399,18548,17747,4993,22740,1169,825,19603321,91,350
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2012,502442,26617,141173,282284,13125,39243,31602,6691,0,0,950,0,9080,0,489236,277066,168495,108571,28431,12922,166307,28492,11541,12450,0,113824,19208,18219,5260,23479,1120,857,22161923,115,446
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2013,553028,79401,141173,282061,13322,37071,35190,931,0,0,950,0,12869,0,466850,251353,148296,103057,24189,19339,170418,29367,9947,7363,979,122762,20988,20016,5568,25584,1247,932,22538494,141,539
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2014,560896,9638,142096,365010,14877,29275,28027,298,0,0,950,0,20097,0,508492,272942,154471,118471,28686,11818,193686,28897,16128,4979,396,143286,22136,21271,5824,27095,1455,1016,22907038,131,467
Swinburne University of Technology,VIC,3,OTR,OTR,Medium,Fast,2015,676671,4667,274224,361914,11787,24079,23129,0,0,0,950,7500,20221,0,543162,272583,160618,111965,31717,13831,223091,30910,15201,6142,4160,166678,23086,22236,6768,29004,1326,0,24805300,141,465
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2006,2268460,26656,452158,1369026,279918,140702,42601,17729,0,0,80372,0,50,0,1106446,574063,328510,245553,68628,41437,411034,143185,13982,4008,0,249859,33871,30499,12372,42871,5013,3809,279653469,736,2140
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2007,2415726,63554,505517,1416031,283166,147458,47316,17290,0,0,82852,0,115,0,1245642,663491,382277,281214,76174,60023,429003,145583,19306,7429,0,256685,34616,31253,12411,43664,5385,3909,308968969,732,2238
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2008,2545008,172602,517577,1424956,284237,145636,45920,16794,0,0,82922,0,66,0,1643195,717289,408544,308745,82371,49818,505576,216404,15836,7674,0,265662,35436,32004,12517,44521,5992,4317,382546727,720,2218
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2009,2920002,129341,608091,1768311,273370,140889,40372,16086,0,0,84431,0,369,0,1433294,738800,412756,326044,88064,56268,477918,183259,16310,6880,0,271469,35885,32439,13129,45568,6465,4456,336973307,775,2288
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2010,2753398,105604,616476,1776875,76770,177673,36760,15499,11519,0,113895,0,21664,0,1521361,762107,438316,323791,130611,65555,511196,175980,15886,6341,0,312989,36581,32970,12161,45131,6589,4271,356995400,727,2203
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2011,2981459,92970,710531,1926593,75924,175441,39390,14800,7162,0,114089,0,33001,11342,1605682,827989,456718,371271,100017,61229,552881,181083,18155,7124,0,346519,36843,33365,14650,48015,7478,4533,376531487,777,2331
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2012,3392461,209961,921249,1953778,73339,234134,54888,17081,17352,0,144813,0,40738,22000,1702279,913399,499323,414076,118906,49968,586330,167610,15764,6657,0,396299,38126,34585,15785,50370,8049,5044,376359424,738,2212
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2013,3494495,91513,921249,2174404,71137,236192,36532,17329,12014,0,170317,0,49518,20678,1751498,938247,519217,419030,112719,48086,630284,184703,12713,7060,2667,423141,40376,36650,16053,52703,8629,5150,373909955,744,2363
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2014,3666483,25934,1018242,2259968,71371,290968,50137,16222,6684,0,217925,0,47768,35998,1939101,1032378,552031,480347,132719,41326,671261,183019,15650,7615,521,464456,42569,38614,16677,55291,9416,5118,412378080,720,2266
The University of Melbourne,VIC,1,Go8,Go8,Large,Medium,2015,3792338,69038,1032493,2229985,68325,392497,54570,16603,1990,0,319334,0,42841,41297,1961522,1022044,580217,441827,135794,52386,726804,182231,18046,7826,-2468,521169,45371,41303,17345,58648,9495,0,396250004,765,2444
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2006,211453,2984,18530,148936,26123,14880,4143,0,2667,0,8070,0,7481,0,174060,104923,53398,51525,11044,3770,54513,6792,2740,1259,0,43722,9220,8702,3467,12169,375,626,18598211,114,306
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2007,212957,8399,18530,143041,25527,17460,10547,0,1813,0,5100,0,6965,0,186153,106412,53786,52626,11453,8523,59539,6612,3043,1681,0,48203,8986,8508,3543,12051,398,608,16049499,136,406
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2008,212007,5832,16581,145884,24781,18929,12102,0,1587,0,5240,0,6667,0,191652,115429,62138,53291,12181,4993,58185,6797,4309,1484,0,45595,8898,8363,3409,11772,422,672,16768790,90,241
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2009,214054,5338,16581,150865,23359,17911,11319,0,1263,0,5329,0,5514,0,192251,114196,55921,58275,12345,6668,58725,7557,3341,3016,0,44811,9087,8503,3386,11889,444,570,16722554,93,265
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2010,221824,15992,16561,148189,21422,19660,13524,0,939,0,5197,0,4361,0,206389,125420,62641,62779,12861,4234,63062,8138,3263,3574,0,48087,9368,8733,3296,12029,534,678,20350227,86,217
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2011,256892,6182,21416,167202,19082,43010,15049,0,165,22147,5649,0,3444,0,217232,130147,64623,65524,14354,4455,67637,8794,3367,4319,0,51157,9829,9182,3208,12390,540,585,18440285,93,252
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2012,259999,8384,21416,174114,15160,40925,14714,0,72,21909,4230,0,2702,0,250228,143598,72061,71537,17403,5244,82951,9084,3463,3262,0,67142,11259,10416,3239,13655,580,649,28338239,77,219
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2013,270942,21111,20506,169367,12959,46999,22828,0,24,21483,2664,0,1678,0,279726,153403,76708,76695,18207,7755,98642,10872,3939,6326,712,76793,11521,10700,3581,14281,761,785,29863319,83,227
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2014,302217,11661,19612,210283,9369,51292,26768,0,0,22039,2485,0,980,0,290572,168994,81134,87860,20219,6143,94041,11174,3434,5988,0,73445,11713,10830,3636,14466,774,788,32230612,88,232
The University of New England,NSW,3,RUN,RUN,Medium,Slow,2015,305545,19497,19612,214626,1769,50041,26488,0,0,21456,2097,0,836,0,290364,170347,83664,86683,24073,8197,84772,9802,2683,7871,55,64361,11706,10851,3490,14341,781,0,31268061,97,289
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2006,1085619,47291,220426,727028,17427,73447,58172,9373,0,0,5902,0,432,0,813608,498957,232108,266849,41528,15881,265447,57930,13615,4094,0,189808,27237,24374,7926,32300,3874,3325,170440316,646,2243
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2007,1247468,11037,234217,900537,20937,80740,62519,11498,0,0,6723,0,141,0,932650,515668,275237,240431,43439,22916,345860,59425,26188,6083,0,254164,30371,27312,8600,35912,4218,3505,232773234,646,2152
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2008,1266019,34329,234217,883418,20316,93739,77127,9668,0,0,6944,0,100,0,1121499,590715,326517,264198,83557,23275,350089,71875,30387,9500,0,238327,32287,29143,8840,37983,4480,3553,273355248,553,1873
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2009,1340838,21318,234627,962668,19858,102367,84892,10474,0,0,7001,0,54,0,1091573,603175,322306,280869,86634,24303,364163,77822,30366,9252,0,246723,33798,30531,9205,39736,5013,4270,301446503,563,1927
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2010,1415318,67254,246228,953729,19069,129038,111069,10672,0,0,7297,0,1451,0,1186398,663789,355910,307879,94685,26582,376282,85414,34124,12440,0,244304,36637,33174,10481,43655,5534,4561,311327662,609,2070
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2011,1571998,184723,246828,928517,19435,192495,128639,13022,0,43428,7406,0,8402,0,1301404,744986,403053,341933,102412,27348,399730,95505,37241,12724,0,254260,37400,33773,10192,43965,6187,4756,295947370,654,2164
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2012,1746387,241665,246909,1045125,16198,196490,133440,12718,0,45145,5187,0,24736,0,1385449,790210,427653,362557,113556,25085,438431,100715,41195,12326,0,284195,37154,33523,10915,44438,6878,5150,330961350,686,2365
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2013,1898687,176618,258803,1240423,16564,206279,141153,11634,0,48260,5232,0,47388,0,1441321,829994,452972,377022,121271,30186,453017,112176,44949,12590,461,282841,38789,34974,11483,46457,7592,5757,346779291,741,2536
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2014,2083752,204181,271304,1372649,16484,219134,151314,12988,0,49676,5156,8247,62930,3475,1533429,894119,486755,407364,133338,32730,468558,108578,44923,12630,478,301949,39589,35389,11469,46858,7865,5369,344876605,775,2607
The University of New South Wales,NSW,1,Go8,Go8,Large,Medium,2015,2150321,60638,278416,1618095,16051,177121,159864,12163,0,0,5094,8851,64243,4848,1597008,906447,491597,414850,141546,32968,495707,119589,50138,14598,370,311012,40118,35966,11270,47236,7801,0,321611307,683,2467
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2006,715389,21018,34190,606950,11449,41782,41782,0,0,0,0,0,1995,0,331409,190409,98901,91508,29038,13564,96876,23730,5751,2122,0,65273,17774,15912,5419,21331,1027,1042,55127894,199,536
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2007,722708,12566,35156,611644,13767,49575,49575,0,0,0,0,0,19460,0,374870,212184,109431,102753,32554,17795,109955,25768,6619,2780,0,74788,18786,16876,5450,22326,1197,1160,70620418,141,391
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2008,713921,10785,35244,605495,8293,54104,54104,0,0,0,0,0,17785,0,452605,241633,125089,116544,36133,17853,126505,27277,6920,3135,0,89173,20048,18144,5417,23561,1313,1171,78102015,151,463
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2009,768722,7588,37465,669622,8263,45784,45784,0,0,0,0,0,14172,0,456900,258819,131758,127061,38306,14958,140770,32492,7071,3009,0,98198,21918,19583,5728,25311,1435,1426,76286008,135,394
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2010,805072,14884,48765,688694,4904,47825,47825,0,0,0,0,0,11610,0,486647,289159,148147,141012,39744,16487,137576,31453,7325,3312,0,95486,23464,20799,6229,27028,1549,1274,84966407,137,399
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2011,814675,9570,50301,700201,4909,49694,49694,0,0,0,0,0,3882,0,547172,301392,153519,147873,41485,22302,179231,34394,10551,3822,0,130464,23820,21177,6321,27498,1772,1319,86142355,129,386
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2012,831071,16259,51530,651648,4970,106664,49485,0,0,57179,0,0,2421,0,585245,346882,180557,166325,37527,23511,171042,37496,10418,3273,0,119855,24478,21680,6632,28312,1951,1379,92378443,169,538
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2013,914273,46026,51530,702794,5393,108530,49653,0,0,58877,0,0,3113,0,614118,357968,180312,177656,36021,31000,181527,37613,11672,4660,0,127582,25526,22569,7158,29727,2222,1558,83887836,225,687
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2014,974426,108784,54210,700439,5513,105480,44707,0,0,60773,0,0,1934,0,626238,364043,182600,181443,36440,27588,192889,37596,15342,4352,8741,126858,25558,22487,7047,29534,2447,1624,92960318,206,661
The University of Newcastle,NSW,2,OTR,OTR,Medium,Medium,2015,990573,48713,61413,765661,5662,109124,46392,0,0,62732,0,0,5186,0,638523,372594,185029,187565,38951,31552,189442,39484,14697,3927,1935,129399,24491,21488,7026,28514,2590,0,95292414,245,751
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2006,102350,10598,36455,45135,2399,7763,3653,3288,397,0,425,0,4426,9721,47319,27276,13012,14264,2291,248,14663,827,163,988,0,12685,4121,3831,910,4741,26,60,479674,4,8
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2007,134317,26726,36455,59540,2761,8835,4355,3698,320,0,462,0,6295,13593,55813,33017,16021,16996,2622,239,16139,911,179,810,0,14239,4827,4548,906,5454,26,64,477905,6,10
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2008,128946,508,35692,80794,3147,8805,4610,3467,244,0,484,0,6615,19923,72621,41111,21153,19958,4282,299,20566,950,161,851,0,18604,5578,5240,1183,6423,50,148,672014,7,14
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2009,138038,2599,43221,79086,3413,9719,4774,4269,192,0,484,0,6935,24594,83992,49224,26843,22381,4472,735,24245,1436,219,896,0,21694,6548,6041,1556,7597,74,103,526492,5,9
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2010,154354,2982,44666,92067,3849,10790,6186,3992,115,0,497,0,6830,24390,96431,60976,35076,25900,4855,392,24969,1547,315,1003,0,22104,7102,6603,1749,8352,115,165,853677,10,21
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2011,177450,20673,48656,94134,3960,10027,5776,3703,39,0,509,0,5392,24200,114797,70331,44291,26040,6172,456,29275,1845,329,1365,0,25736,7722,7218,1919,9137,145,73,745755,6,12
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2012,199507,17530,52241,115764,4225,9747,5451,3741,32,0,523,0,4148,24011,126177,79889,49794,30095,6492,522,32286,2522,300,1444,0,28020,8247,7462,2107,9569,165,103,928374,4,8
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2013,205596,5639,52241,132372,4673,10671,6667,3448,32,0,524,0,2717,23821,139928,88337,54117,34220,7416,619,36502,3713,584,1454,0,30751,8738,7940,2256,10196,216,153,1391180,11,23
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2014,226476,1355,77523,133159,4179,10260,6562,3169,0,0,529,0,1775,0,149274,94752,57954,36798,9977,935,37128,4470,507,1763,0,30388,9129,8251,2420,10671,217,173,2266068,17,34
The University of Notre Dame Australia,WA,3,OTR,OTR,Small,Fast,2015,228701,6920,78338,130098,4159,9186,5804,2853,0,0,529,0,2961,0,156219,99895,61211,38684,8139,1832,40473,5727,377,1621,0,32748,9286,8500,2483,10983,278,0,1508646,26,44
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2006,1667824,140038,154503,898295,248014,226974,126200,690,0,0,100084,0,4905,0,895564,530935,291716,239219,58072,9883,296149,44016,11295,2756,0,238082,29018,25856,8245,34101,4163,3483,214972027,511,1613
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2007,2073953,97927,186320,1169992,384809,234905,129066,472,0,0,105367,0,6099,0,976671,569061,308468,260593,62401,13221,331469,47121,16997,6613,0,260738,29288,26104,8159,34263,4596,3582,243787088,516,1744
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2008,2544658,72161,217114,1565007,395718,294658,148010,254,0,0,146394,0,11669,0,1097281,615276,326721,288555,69627,19926,390820,47933,20134,5952,0,316801,29757,26689,8417,35106,4814,3261,283029649,598,2052
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2009,2742690,154488,220163,1684557,372815,310667,159269,36,0,0,151362,0,13022,0,1131264,652056,349660,302396,81567,23174,370466,55769,17758,11165,0,285774,32015,28950,8456,37406,5230,3515,303429637,552,1941
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2010,2888123,30392,223702,1957284,330145,346600,168451,0,16045,0,162104,0,11224,0,1320329,722134,386253,335881,90297,26148,459613,59778,22576,9557,0,367702,34910,31624,9381,41005,5732,3779,320478029,535,1855
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2011,2530580,112372,378587,1591038,51785,396798,187796,0,116510,44701,47791,0,9901,0,1436837,785305,423529,361776,104112,65655,462699,64020,25336,10766,0,362577,36289,32854,9800,42654,6326,3909,338563416,553,1993
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2012,2665115,226535,372350,1608500,41275,416455,196880,7615,116268,46740,48952,0,8100,0,1519308,843169,448603,394566,108744,69811,480802,68497,24762,12641,0,374902,36921,33467,10118,43585,7082,4350,368015729,616,2212
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2013,2898216,153042,378372,1820996,35332,510474,197145,8721,199814,52675,52119,0,6167,0,1553342,871462,465174,406288,110422,49843,501754,71199,25832,12865,4043,387815,38385,34705,10262,44967,7783,4801,381765332,752,2708
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2014,2918801,26190,257711,1924945,31005,678950,204001,9997,245124,165198,54630,0,29081,0,1646027,903255,485844,417411,120391,67070,541659,73408,25907,11818,3470,427056,39920,35942,10783,46725,8354,4683,377307509,829,2968
The University of Queensland,QLD,1,Go8,Go8,Large,Medium,2015,2741323,59620,269037,1804185,29692,578789,197087,9343,204181,111166,57012,0,29743,14000,1677262,935599,500191,435408,124755,65154,541705,77575,25125,16934,3661,418410,40004,35985,11329,47314,8355,0,384971148,748,2784
The University of Sydney,NSW,1,Go8,Go8,Large,Slow,2006,2088287,83397,228464,1040892,470440,265094,79175,8404,0,0,177515,14200,36281,2074,1017084,591704,312717,278987,49029,35522,334287,55705,18749,3464,0,256369,35513,32217,11622,43839,5063,3852,309488777,656,2045
The University of Sydney,NSW,1,Go8,Go8,Large,Slow,2007,2206671,152039,224036,1079022,467359,284215,87128,8653,0,0,188434,14300,38250,2277,1117493,668878,349513,319365,51006,44374,349140,62030,19302,3795,0,264013,36077,32623,11597,44220,5688,4069,310660056,625,1978
The University of Sydney,NSW,1,Go8,Go8,Large,Slow,2008,2427678,179041,188246,1258730,466560,335101,86936,34461,0,0,213704,13000,38012,2322,1448801,753213,396477,356736,52453,50373,379527,69194,24694,4340,0,281299,37114,33525,12391,45916,6187,4091,353524300,675,2053
The University of Sydney,NSW,1,Go8,Go8,Large,Slow,2009,2508142,42955,166084,1471145,469384,358574,91165,47335,0,0,220074,13300,47901,2393,1330655,801113,412204,388909,62468,53548,398555,77095,26055,3312,0,292093,38785,35045,12707,47752,6433,4249,278955610,700,2122
The University of Sydney,NSW,1,Go8,Go8,Large,Slow,2010,2526407,61286,168753,1455908,472279,368181,91984,48098,0,0,228099,13832,58076,3306,1391902,842825,443712,399113,70103,53550,412197,85009,21660,3478,0,302050,39740,35815,12882,48697,6907,4629,304907262,775,2389
